game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_09_ATL_TB,19.0,7,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.2518310331340348,,,Field goal,,0
2016_09_ATL_TB,21.0,3,0.5,0.0,0.3333333333333333,-0.18726836095447877,,,End of half,,0
2016_10_ATL_PHI,1.0,8,0.25,0.375,0.375,-0.19404224544996335,,,Punt,,1
2016_10_ATL_PHI,3.0,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.2707168132377169,,,Punt,,2
2016_10_ATL_PHI,5.0,6,0.3333333333333333,0.5,0.5,0.2963984664529558,,,Field goal,,1
2016_10_ATL_PHI,7.0,9,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.21332782729425367,,,Field goal,,1
2016_10_ATL_PHI,9.0,4,0.0,0.75,0.25,-0.8847309857810621,,,Missed field goal,,2
2016_10_ATL_PHI,11.0,1,0.0,1.0,0.0,-0.274862527614459,,,End of half,,2
2016_10_ATL_PHI,13.0,9,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.2455357636014623,,,Field goal,,1
2016_10_ATL_PHI,15.0,4,0.25,0.25,0.25,1.3233105078362746,,,Touchdown,,0
2016_10_ATL_PHI,17.0,4,0.0,0.75,0.0,-0.8011801406391893,,,Punt,,2
2016_10_ATL_PHI,19.0,7,0.0,0.5714285714285714,0.2857142857142857,-0.307709591795824,,,Punt,,2
2016_10_ATL_PHI,21.0,5,0.2,0.6,0.0,-0.9243236252572379,,,Turnover on downs,,2
2016_10_ATL_PHI,23.0,4,0.0,0.75,0.25,-0.2309982639853838,,,Turnover,,2
2016_12_ARI_ATL,2.0,14,0.2857142857142857,0.5,0.7142857142857143,0.37906281568173983,,,Touchdown,,1
2016_12_ARI_ATL,4.0,11,0.45454545454545453,0.2727272727272727,0.5454545454545454,0.11668989354405844,,,Field goal,,1
2016_12_ARI_ATL,6.0,4,0.25,0.5,0.25,-0.47910898458212703,,,Punt,,2
2016_12_ARI_ATL,8.0,3,0.0,0.6666666666666666,1.0,1.38648754331194,,,Touchdown,,1
